Individuals,Codes,Time_Body_Acceleration.mean...X,Time_Body_Acceleration.mean...Y,Time_Body_Acceleration.mean...Z,Time_Gravity_Acceleration.mean...X,Time_Gravity_Acceleration.mean...Y,Time_Gravity_Acceleration.mean...Z,Time_Body_Acceleration_Jerk.mean...X,Time_Body_Acceleration_Jerk.mean...Y,Time_Body_Acceleration_Jerk.mean...Z,Time_Body_Gyroscopic.mean...X,Time_Body_Gyroscopic.mean...Y,Time_Body_Gyroscopic.mean...Z,Time_Body_Gyroscopic_Jerk.mean...X,Time_Body_Gyroscopic_Jerk.mean...Y,Time_Body_Gyroscopic_Jerk.mean...Z,Time_Body_Acceleration_Magnitude.mean..,Time_Gravity_Acceleration_Magnitude.mean..,Time_Body_Acceleration_Jerk_Magnitude.mean..,Time_Body_Gyroscopic_Magnitude.mean..,Time_Body_Gyroscopic_Jerk_Magnitude.mean..,Frequency_Body_Acceleration.mean...X,Frequency_Body_Acceleration.mean...Y,Frequency_Body_Acceleration.mean...Z,Frequency_Body_Acceleration.meanFreq...X,Frequency_Body_Acceleration.meanFreq...Y,Frequency_Body_Acceleration.meanFreq...Z,Frequency_Body_Acceleration_Jerk.mean...X,Frequency_Body_Acceleration_Jerk.mean...Y,Frequency_Body_Acceleration_Jerk.mean...Z,Frequency_Body_Acceleration_Jerk.meanFreq...X,Frequency_Body_Acceleration_Jerk.meanFreq...Y,Frequency_Body_Acceleration_Jerk.meanFreq...Z,Frequency_Body_Gyroscopic.mean...X,Frequency_Body_Gyroscopic.mean...Y,Frequency_Body_Gyroscopic.mean...Z,Frequency_Body_Gyroscopic.meanFreq...X,Frequency_Body_Gyroscopic.meanFreq...Y,Frequency_Body_Gyroscopic.meanFreq...Z,Frequency_Body_Acceleration_Magnitude.mean..,Frequency_Body_Acceleration_Magnitude.meanFreq..,Frequency_Body_Acceleration_Jerk_Magnitude.mean..,Frequency_Body_Acceleration_Jerk_Magnitude.meanFreq..,Frequency_Body_Gyroscopic_Magnitude.mean..,Frequency_Body_Gyroscopic_Magnitude.meanFreq..,Frequency_Body_Gyroscopic_Jerk_Magnitude.mean..,Frequency_Body_Gyroscopic_Jerk_Magnitude.meanFreq..,angle.Time_Body_AccelerationMean.gravity.,angle.Time_Body_Acceleration_JerkMean..gravityMean.,angle.Time_Body_GyroscopicMean.gravityMean.,angle.Time_Body_Gyroscopic_JerkMean.gravityMean.,angle.X.gravityMean.,angle.Y.gravityMean.,angle.Z.gravityMean.
2,5,0.277911472,-0.018420827,-0.105908536,0.896928567,-0.370062697,0.129747161,0.07475886,0.010329177,-0.008371588,-0.023862388,-0.082039658,0.08783517,-0.105562158,-0.042241954,-0.054653948,-0.965875181,-0.965875181,-0.980489077,-0.963466342,-0.983951904,-0.98394674,-0.959871697,-0.962471196,0.108519183,0.062337807,0.1044625,-0.980973242,-0.970851338,-0.979775152,0.331449281,-0.056936829,0.039649818,-0.967037112,-0.972576153,-0.960627696,-0.107416045,-0.17116037,0.000226811,-0.964052166,0.119649964,-0.977065296,0.304871865,-0.961775905,-0.066126605,-0.977849827,0.160662824,-0.013681915,0.041182224,-0.015103516,0.112324649,-0.627180076,0.337937912,-0.067895981
2,6,0.281373404,-0.01815874,-0.10724561,-0.509754238,0.752536639,0.64683488,0.082597251,0.012254788,-0.001802649,-0.018476607,-0.111800825,0.144882846,-0.101974134,-0.035859018,-0.070178302,-0.977435485,-0.977435485,-0.987741696,-0.95001157,-0.991767074,-0.97672506,-0.979800878,-0.984380982,-0.146482793,0.257289466,0.402532553,-0.985813631,-0.98276825,-0.986197135,0.159808329,0.121206424,0.190558218,-0.986431143,-0.983321635,-0.962671888,0.102611319,0.042280668,0.055298599,-0.975110196,0.266298213,-0.985374115,0.341758575,-0.972112973,0.018564472,-0.990248702,0.264801505,0.00579181,-0.006355576,0.065286011,-0.029371009,0.617423416,-0.519732551,-0.478928234
3,1,0.275567462,-0.017176784,-0.11267486,0.936506743,-0.261986358,-0.138107866,0.081474588,0.010059149,-0.005622646,-0.025640519,-0.077915094,0.081348594,-0.095239817,-0.038787465,-0.05036161,-0.254690333,-0.254690333,-0.280009317,-0.466411754,-0.566135218,-0.316614012,-0.081302435,-0.412374074,-0.246614197,0.171743003,0.074853656,-0.304694443,-0.14050859,-0.514137255,-0.216042668,-0.258667985,-0.346946648,-0.437845764,-0.561526265,-0.418126217,0.03375969,-0.037989651,-0.044507974,-0.290031535,0.113494313,-0.186764517,-0.117163983,-0.569755772,0.180946463,-0.607751646,0.045762296,0.052750283,-0.076302065,0.096843832,-0.03668922,-0.722804014,0.26249189,0.11740328
3,2,0.260819873,-0.032410941,-0.110064863,0.883533436,-0.382851154,-0.162943955,0.042688099,0.039724927,0.020820554,0.072198031,-0.139275406,0.02156037,-0.115510569,-0.040037251,-0.049818087,-0.184014895,-0.184014895,-0.436901159,-0.347321812,-0.658861401,-0.392004211,-0.078809416,-0.504494528,-0.461249741,-0.100019162,-0.278895911,-0.478434306,-0.283772547,-0.677314534,-0.325151127,-0.45378982,-0.442664136,-0.378216682,-0.637293508,-0.431503362,-0.145536204,-0.339321488,-0.102013834,-0.315866079,0.023821875,-0.412920898,0.090494409,-0.514211584,-0.177730591,-0.716877779,0.075384358,0.013488557,0.115176801,-0.263078223,0.03039925,-0.600971375,0.346985016,0.134293701
3,3,0.292423485,-0.019355408,-0.116139843,0.939057788,-0.228829214,-0.102352758,0.072568929,0.010970777,-0.00202728,-0.131573276,-0.013935804,0.123826738,-0.077870165,-0.039156793,-0.041619313,-0.062812612,-0.062812612,-0.205239247,-0.215294501,-0.508567577,-0.042170694,-0.007700483,-0.404452414,-0.325863695,0.052906524,-0.056600304,-0.090670713,-0.135938543,-0.529059451,-0.229599433,-0.356023307,-0.274421716,-0.129066574,-0.542694164,-0.302866461,-0.159888621,-0.109972458,0.091007284,0.02894132,0.043961669,-0.049477977,0.043496784,-0.332376629,-0.051669955,-0.576277199,0.065444436,-0.047579424,-0.010849499,0.313783896,-0.077283993,-0.766823526,0.240927177,0.093221261
3,4,0.257197599,-0.003502998,-0.09835792,0.901098985,0.127303379,0.139020582,0.072609842,0.002725291,-0.004233484,-0.03853652,-0.075241003,0.094011398,-0.103605889,-0.036090988,-0.059007997,-0.89538335,-0.89538335,-0.969080753,-0.919354372,-0.977998052,-0.970154441,-0.891907751,-0.917987925,0.031298937,-0.006616306,0.047861959,-0.974950363,-0.954170151,-0.970845669,0.215731833,-0.095914873,-0.043747343,-0.957550638,-0.95617355,-0.934967959,0.052084449,-0.166042259,-0.038746742,-0.904185726,0.028160079,-0.965888892,0.28679577,-0.946664944,-0.115525765,-0.977898106,0.087190234,0.032717286,0.004078297,0.064370666,-0.025235547,-0.759811922,-0.006324801,-0.07839349
3,5,0.280046513,-0.014337656,-0.101621723,0.935030779,-0.30173513,0.024763107,0.075090062,0.007716636,-0.008071779,-0.024662607,-0.058510192,0.066526205,-0.099460262,-0.047241582,-0.041683216,-0.925430819,-0.925430819,-0.95930384,-0.892089349,-0.96233934,-0.96012341,-0.908075354,-0.939507735,-0.087024832,-0.12818013,0.007718979,-0.957666857,-0.943497974,-0.969174903,0.07495644,-0.25816481,-0.112367642,-0.901282268,-0.937711157,-0.916172538,-0.297107442,-0.316011207,-0.229120091,-0.926968932,-0.000332754,-0.948627468,0.129816298,-0.913682363,-0.309822161,-0.960331718,-0.020630782,0.007727706,0.024654525,0.009799109,-0.050544071,-0.711903816,0.289824126,0.004570984
3,6,0.275516853,-0.018955679,-0.101300478,-0.241758478,0.8370321,0.488703185,0.076981113,0.013804101,-0.004356259,-0.020817054,-0.071850716,0.137999561,-0.100044499,-0.038977177,-0.06873387,-0.972791346,-0.972791346,-0.979484593,-0.951564751,-0.986713625,-0.980665609,-0.961169983,-0.968332142,-0.073952644,0.238470751,0.216971672,-0.980513202,-0.968752114,-0.979122344,0.175978554,-0.013177496,0.044819691,-0.970167263,-0.978099682,-0.962341961,-0.082216645,-0.026682011,0.147686456,-0.965524275,0.236990128,-0.975949598,0.238611134,-0.964586725,-0.022929611,-0.984278251,0.110697704,0.017895938,0.016647953,0.045587477,0.031726168,0.423505857,-0.630062847,-0.34624307
4,1,0.278582015,-0.014839948,-0.111403065,0.963999697,-0.085854027,0.127764113,0.078352908,0.002956024,-0.000767679,-0.031798256,-0.072690528,0.080567716,-0.115321556,-0.039347449,-0.055116685,-0.312050574,-0.312050574,-0.36670088,-0.497792201,-0.681304037,-0.42671945,-0.149399633,-0.631005471,-0.138591637,0.012347734,-0.078789264,-0.358883414,-0.279553392,-0.728991596,-0.135280395,-0.385880863,-0.325737504,-0.373384541,-0.688460057,-0.601381129,-0.127154086,-0.274665638,0.149851535,-0.450804558,0.38209641,-0.318587811,0.111486485,-0.609285588,0.069730125,-0.724327421,0.265355374,-0.012009778,0.000921104,0.017781368,0.055415967,-0.865284281,0.142510179,-0.067517986
4,2,0.270876697,-0.03198043,-0.114219456,0.946264314,-0.232944305,0.084167538,0.056097191,0.023401899,0.003402808,0.03938252,-0.085947168,0.084375384,-0.131472071,-0.039050883,-0.072249626,-0.153703935,-0.153703935,-0.400922255,-0.299779408,-0.686978374,-0.29448827,-0.117109161,-0.524655723,-0.48681175,-0.066234848,-0.230536707,-0.418304647,-0.297805187,-0.690106934,-0.379653611,-0.392701926,-0.319649297,-0.371068993,-0.684310202,-0.350765737,-0.206073104,-0.491527601,-0.130134208,-0.276825498,-0.108017172,-0.397406285,0.049746274,-0.575794072,-0.150274479,-0.740749226,0.179517012,0.059205154,-0.005062365,-0.246559359,0.05351725,-0.775483533,0.243389232,-0.036802204
4,3,0.27996533,-0.009802009,-0.106777525,0.947731859,-0.062085277,0.148714809,0.097186275,0.005637802,-0.007291378,-0.102838823,-0.070402595,0.059263949,-0.092128273,-0.034843491,-0.049283644,-0.049161673,-0.049161673,-0.228851414,-0.346606293,-0.592843015,-0.072239228,-0.129606639,-0.494683452,-0.342285696,0.213581745,0.047837567,-0.161632908,-0.172941629,-0.583917371,-0.179115176,-0.181293185,-0.169702261,-0.240298893,-0.71754584,-0.318306481,-0.127145377,-0.185485631,0.377074097,-0.019074335,0.101078171,-0.175295287,0.092623694,-0.42921337,0.060029205,-0.621752456,0.144436926,0.000633759,-0.052529722,0.353626044,-0.062561954,-0.852409054,0.126538171,-0.083201547
4,4,0.27153828,-0.007163065,-0.105874596,0.869303006,0.21162254,0.110120481,0.078450024,-0.010858217,-0.012149995,-0.049443512,-0.089430061,0.101150335,-0.096949484,-0.04184839,-0.048996435,-0.93569482,-0.93569482,-0.970132284,-0.926063314,-0.980490462,-0.977462498,-0.905782932,-0.951783743,0.037381761,0.078786009,0.012094266,-0.976845713,-0.944298391,-0.975154906,0.21301992,-0.075289966,0.012245577,-0.960589636,-0.967583648,-0.933776892,0.109092658,-0.39474554,-0.145726034,-0.929002095,0.028092111,-0.962500734,0.227198015,-0.948769752,-0.200084758,-0.976547763,0.085934203,-0.010753475,-0.007599057,-0.03268728,-0.059574723,-0.710276243,-0.070998788,-0.056329891
4,5,0.280499746,-0.009489111,-0.096157491,0.956197791,-0.075900906,0.166893826,0.072132838,-0.006530157,-0.021188989,-0.030644934,-0.061824851,0.075563643,-0.103057894,-0.04612572,-0.04907535,-0.906478052,-0.906478052,-0.963370738,-0.900982101,-0.967614074,-0.97349755,-0.889549205,-0.931643421,0.062099996,-0.066987505,-0.037782277,-0.972310894,-0.937624242,-0.968648412,0.272213981,-0.126450633,0.071105663,-0.905464162,-0.955992945,-0.915280955,-0.274809641,-0.364372375,-0.223109155,-0.917614015,-0.102971758,-0.956139284,0.201262207,-0.914209166,-0.286128312,-0.964471139,0.060985002,0.014731236,0.004572909,0.101339341,0.025719245,-0.831044402,0.135778706,-0.095134752
4,6,0.263559215,-0.015003184,-0.11068815,-0.420664662,0.915165104,0.341531311,0.093449422,0.006933132,-0.006410543,-0.009231563,-0.093012818,0.169720404,-0.105019878,-0.038123043,-0.071215629,-0.954557603,-0.954557603,-0.970095772,-0.930236463,-0.985068502,-0.958802078,-0.938883374,-0.967504279,-0.274194619,0.366231449,0.201329592,-0.978542457,-0.943969987,-0.975383329,0.182436483,0.098742884,0.077021117,-0.967203736,-0.972187839,-0.961479263,-0.066092182,-0.526889996,0.152886312,-0.939389701,0.2416979,-0.962287125,0.27402735,-0.96155666,-0.25985197,-0.983609073,0.202949382,-0.002357753,-0.015503757,0.007129605,0.036656731,0.553489758,-0.763217167,-0.229790433
5,1,0.277842346,-0.017285032,-0.107741776,0.97262496,-0.100440285,0.002476236,0.084588883,-0.01631941,8.32E-05,-0.04889199,-0.069013525,0.08154355,-0.088840836,-0.044955953,-0.04826796,-0.158338674,-0.158338674,-0.288333024,-0.355933084,-0.444532485,-0.287782607,0.009460378,-0.490251091,-0.322382011,-0.002040511,0.024738973,-0.344954806,-0.181055554,-0.590496616,-0.359372578,-0.534049823,-0.344150925,-0.37266875,-0.513951718,-0.213127031,-0.045860194,-0.019186012,0.167457819,-0.304992489,0.149852522,-0.269481661,-0.004972878,-0.484262829,0.25062061,-0.548053575,0.052733013,-0.03228682,-0.011721578,0.023735726,-0.034893705,-0.917113974,0.152461603,0.020033815
5,2,0.26845947,-0.032526976,-0.107471454,0.936821835,-0.265942569,-0.023203536,0.079544348,0.014013036,-0.025590953,0.039519112,-0.117195552,0.042444282,-0.143029686,-0.055989578,-0.05348954,0.043556202,0.043556202,-0.247403477,-0.235516929,-0.473488168,-0.16148534,0.072890316,-0.457470677,-0.427706137,-0.122487324,-0.135264616,-0.28972547,-0.196817921,-0.606717465,-0.397835581,-0.57700936,-0.339640933,-0.263615096,-0.516609047,-0.139801393,-0.061580336,-0.138063832,0.060813284,-0.169261525,-0.020494854,-0.264674939,0.1245133,-0.392564531,-0.023400199,-0.571344139,0.005786311,-0.020422441,-0.077228702,-0.293346476,0.112446922,-0.754346295,0.266611003,0.037868689
5,3,0.293543927,-0.008501075,-0.100319931,0.956649353,-0.060757832,0.021677791,0.1096506,0.013761823,0.021339766,-0.06829457,-0.0707806,0.080655999,-0.110149008,-0.070829659,-0.039965694,0.211138854,0.211138854,-0.063752856,-0.218029835,-0.397195621,0.098432009,0.079228069,-0.37474009,-0.453524501,0.036366239,-0.004372204,-0.036801215,-0.056803296,-0.491979946,-0.350911622,-0.470994737,-0.303523361,-0.295345101,-0.382483075,-0.034175028,-0.008922866,-0.007642421,0.211555807,0.155742169,-0.013705507,0.009183943,0.110968065,-0.349338415,0.204633758,-0.453697247,0.072381509,-0.039738462,-0.041400852,0.123686466,-0.001404468,-0.947116528,0.125876925,0.006481095
5,4,0.27369414,-0.009900835,-0.1085403,0.880731444,0.168445524,0.143006858,0.074957741,-0.002787733,0.003386096,-0.042235521,-0.083548408,0.082393445,-0.088974767,-0.045470298,-0.048771473,-0.937978323,-0.937978323,-0.969320156,-0.934301647,-0.973848287,-0.977450812,-0.921434736,-0.946064217,-0.020933049,0.068459003,0.04031618,-0.976024951,-0.95423749,-0.969501331,0.075735617,-0.131861736,-0.064496073,-0.957117252,-0.955460359,-0.938003426,0.125891359,-0.187706341,0.096683391,-0.936290605,0.058607517,-0.964440302,0.245936717,-0.944760322,-0.005783501,-0.97159837,0.081290133,0.028703647,-0.020953254,-0.017875219,-0.088593394,-0.730101663,-0.038449397,-0.080686275
5,5,0.282544391,-0.007004186,-0.102171096,0.960188699,-0.038710127,0.138638437,0.072518986,-0.002219902,-0.012281222,-0.03227119,-0.050987505,0.069094576,-0.092224986,-0.039910819,-0.042222134,-0.906104701,-0.906104701,-0.956863566,-0.900671631,-0.958405901,-0.964500917,-0.890796361,-0.915083799,-0.016406678,-0.008944132,-0.028287523,-0.963059235,-0.931370209,-0.958438727,0.150463078,-0.143681805,-0.033363702,-0.909661802,-0.939373524,-0.907190837,-0.178598411,-0.162944927,-0.109180364,-0.904641393,-0.016942232,-0.941825903,0.140971601,-0.904543922,-0.157768871,-0.952286438,-0.039313597,-0.008608569,-0.005722244,0.086699045,-0.082878932,-0.862767278,0.110446445,-0.075450965
5,6,0.278334326,-0.018304212,-0.107937604,-0.483470598,0.954890346,0.263644692,0.084816482,0.007474608,-0.003040672,-0.021893501,-0.07987096,0.159894367,-0.102114125,-0.040444693,-0.070830969,-0.966777883,-0.966777883,-0.980141254,-0.946938301,-0.986419423,-0.968741678,-0.965419521,-0.977007725,-0.135632454,0.466528232,0.132310871,-0.982689657,-0.965328566,-0.983250309,0.239915157,0.195677336,0.091693879,-0.975797492,-0.978249646,-0.963202948,-0.022723586,0.068124848,0.041360028,-0.962234984,0.292032095,-0.97735638,0.197005001,-0.968257069,0.102441766,-0.984618026,0.024736711,0.021209193,0.055364796,-0.005812889,-0.034442026,0.59873266,-0.82529986,-0.168146327
6,1,0.283658868,-0.016895419,-0.110303166,0.958067455,-0.214694852,0.033188883,0.069958588,-0.016483172,-0.007389312,-0.025509619,-0.074446247,0.08388088,-0.087889109,-0.036230897,-0.053959728,-0.166840714,-0.166840714,-0.195117026,-0.281207841,-0.321290483,-0.187934323,0.140781622,-0.498520164,-0.196841737,0.022073419,0.185107042,-0.150942918,-0.075374232,-0.541438616,-0.178295181,-0.466305754,-0.104129449,-0.239650711,-0.341378429,-0.203575459,0.091240973,0.041626754,0.30287495,-0.201386608,0.200090364,-0.055401423,-0.009228846,-0.329681123,0.293109613,-0.366500534,0.100924732,-0.068034706,0.005595328,-0.051058045,-0.081881793,-0.806205223,0.230443601,-0.001303643
6,2,0.268229355,-0.027242539,-0.122082439,0.913632242,-0.340732609,-0.018460896,0.07210675,0.003713434,-0.002378166,-0.076740683,-0.051898199,0.066423403,-0.065202449,-0.045770535,-0.057680005,0.017779097,0.017779097,-0.207379799,-0.129121244,-0.342895368,-0.131075373,0.09780351,-0.4272481,-0.445120587,-0.094883003,-0.066786791,-0.24481277,-0.122991594,-0.549314616,-0.441959116,-0.50117034,-0.401683802,-0.115065008,-0.32965378,-0.046414211,-0.055914015,-0.129471191,0.010292767,-0.08194794,-0.014015435,-0.169868234,-0.061237841,-0.230627015,0.014480732,-0.459236334,0.028505384,0.008641381,0.003211174,0.128194466,-0.099365357,-0.679096002,0.318508029,0.034533491
